Desembarque
115
332
314
728
785
851
801
822
1125
1453
281
53
0.001
0.001
139
118
314
396
65
217
0.001
56
1073
1545
1565
1353
2197
2340
2537
2469
3158
3764
4061
4382
4358
4372
5180
3572
5492
4345
3592
2917
1883
1980
1426
1340
1284
1501
1607
1307
1312
1137
1069
821
848
874
1136
877
817
567
674
907
